Tipo,Iden,ape1,ape2,nom1,nom2,sexo,Fec_Nac,CodPostal
RC,36311772530,Chapman,Woods,Katie,Jennifer,F,30/05/1965,614
PEP,29688591090,Ray,Rivera,Julie,Paula,F,15/03/1936,013
PT,11929230458,Gibson,Curtis,Carrie,Melissa,F,06/09/1938,045
PPT,43069939807,Johnson,Dyer,Maria,Nicole,F,18/04/1943,228
AS,94816318371,Johnson,Parker,Mary,Elizabeth,F,28/11/1945,621
CE,62135474050,Cochran,Hayes,Michelle,Ashley,F,19/08/1993,383
PPT,30056680973,Martin,Marsh,Taylor,Rachel,F,28/10/2002,238
RC,43671899537,Baker,Melendez,Julie,April,F,30/09/1997,750
PA,98584553741,Norris,Mills,Vickie,Tammy,F,22/09/1984,750
CN,71031686186,Flores,Evans,Chelsey,Jacqueline,F,13/07/1997,750
PE,70137357078,Kelly,Anderson,Nicole,Shelly,F,17/08/1991,750
PEP,49298267432,Shaw,Williams,Amanda,Sonia,F,05/09/1951,001
CC,65536639680,Lopez,Hunt,Jennifer,Anna,F,24/12/1941,001
CN,11850592249,Davis,Morales,April,Heather,F,29/05/1995,570
MS,98132083788,Moore,Graham,Vanessa,Alexandra,F,21/05/1937,175
SPR,77488696974,Lopez,Montoya,Anna,Linda,F,07/10/2000,295
SC,74290572224,Martin,Murphy,Evelyn,Sharon,F,31/01/1947,517
RC,83437928704,Bell,Hartman,Pamela,Jennifer,F,01/11/1974,295
CC,99961430588,Hoffman,Castro,Nicole,Michelle,F,28/07/1976,400
TI,95968311364,Hunt,Thompson,Holly,Nancy,F,14/04/2006,045
RC,27649100892,Medina,Lara,Cynthia,Dominique,F,15/06/1974,045
PPT,7471270870,Johnson,Freeman,Monica,Kimberly,F,29/06/1945,238
RC,68136055736,Greer,Ruiz,Allison,Diana,F,01/10/1969,770
SPR,89078212584,Frey,Hill,Kristi,Carrie,F,12/09/1979,750
CN,6109482169,Crosby,Wallace,Alexis,Kathryn,F,29/06/1935,614
SC,56745342640,Ramirez,Hoffman,Katherine,Sara,F,03/04/1940,570
SC,77662471750,Ross,Fox,Samantha,Courtney,F,14/04/1997,178
PEP,33782319116,Farrell,Sanchez,Amy,Teresa,F,10/09/1978,238
DNI,18114387825,Wright,Jordan,Karen,Katrina,F,18/05/1982,175
PE,18236248973,Johnson,Franco,Amanda,Michelle,F,11/03/1943,045
SC,59874656006,Obrien,Donovan,Pamela,Megan,F,09/06/2000,032
PT,77735798589,Roberts,Mendoza,Jennifer,Lisa,F,18/09/1966,383
TI,77127735673,Woods,Bryan,Susan,Meredith,F,18/06/1996,001
PE,65717748735,Rodriguez,York,Katie,Michelle,F,03/11/1985,295
CC,52138243576,Adams,Garcia,Sara,Deborah,F,22/11/1965,517
PEP,2231978223,Lambert,Chen,Sara,Leslie,F,24/12/1955,787
MS,96838583126,Taylor,Reed,Denise,Teresa,F,13/04/1946,060
PE,31882027424,Holmes,Donaldson,Vanessa,Sarah,F,26/12/1943,787
